image,page,src,alt,description
1,climbing,./climbing/DSC03527.JPG,,"March 2019 - Having fun climbing outdoors in the cold! Cold is when the rock has the highest friction, it's the best time to send some projects!"
2,climbing,./climbing/DSC03570.JPG,,April 2019 - V9 project Chain reaction. This move is so beautiful to me! But this project has a fear factor as there is a large rock directly behind me; not a very fun fall…
3,climbing,./climbing/DSC04524.JPG,,Aug 2019 - Climbed the silo at Allez Up in Montreal - gave the best views of the city
4,climbing,./climbing/DSC09111.jpg,V10 - Closed Eye Visuals,"March 2019 - Sent my first V10 (Closed Eye Visuals) - I sent my highest bouldering grade attempted outdoors which may not have been a V10 for me, largely due to the fact that I just found new painful micro-crimps to make my way up the boulder."
5,climbing,./climbing/25889846610_f178d44ff5_o.jpg,UBS - Team finals,March 2016 - First time competing for University Bouldering Series and managed to make second place in the intermediate females category!
6,climbing,./climbing/Maria_v1-3.jpg,Maria loves climbing,August 2018 - Having so much fun outdoor bouldering!
7,climbing,./climbing/PAC room.jpg,PAC room,Jan 2015 - Where it all started - my passion for climbing began in the local university bouldering room.
8,climbing,./climbing/rock oasis.jpg,Rock Oasis,"At a climbing gym in Toronto - I think this was a V3 problem, but I was quite proud to be sitting on top of the mushroom-looking hold"
9,climbing,./climbing/climbing wall.jpg,Dragon climb,Attractive dragon climb for bouldering at a higher-than-normal height
10,photography,./photography/ceiling.jpg,ceiling,
11,photography,./photography/streetlight.jpg,streetlight,
12,photography,./photography/whale painting.jpg,whale,
13,photography,./photography/DSC00593.JPG,,
14,photography,./photography/DSC03869.JPG,,
15,photography,./photography/DSC03996.JPG,,
16,photography,./photography/DSC04443.JPG,,
17,photography,./photography/DSC03246.JPG,,
18,photography,./photography/DSC04478.JPG,,
